dataCode,ordinal,ordering,reassignments,default_value,default_related_field
100260,0,,,,
100261,0,,,,
100262,1,,,,
100263,0,,,,
100264,-1,,,,
100267,1,0|1,2=NA,,
100270,0,,,,
100271,1,,2=1|3=NA,,
100272,0,,5=-1,,
100273,0,,,,
100274,0,,,,
100280,0,,,,
100282,0,,,,
100286,0,,-7=100,,
100287,0,,-7=100,,
100288,0,,-7=100,,
100289,0,,-7=100,,
100290,,,-1=NA|-3=NA|-10=NA,,
100291,,,-1=NA|-3=NA,,
100292,,,-3=NA,,
100293,1,,,,
100294,1,,,,
100295,0,,-7=100,,
100298,,,-10=NA|-1=NA|-3=NA,,
100299,0,,-7=100,,
100300,,,-1=NA|-3=NA|-10=NA,,
100301,1,,,,
100305,,,-7=100,,
100306,,,-1=NA|-2=NA|-3=NA,,
100307,,,-1=NA|-2=NA|-3=NA,,
100313,1,,,,
100314,1,,,,
100316,0,,-7=100,,
100317,1,,,,
100318,1,,,,
100327,1,,7=6,,
100328,0,,-7=100,,
100329,,,-1=NA|-3=NA|-10=NA,,
100334,1,,5=-4,,
100335,1,,,,
100336,1,,,,
100337,1,,,,
100338,1,1|0|2,,,
100339,0,,,,
100341,1,,,,
100342,1,,,,
100343,1,,,,
100345,-1,,,,
100346,1,,3=2,,
100347,1,0|2|1,,,
100348,1,,,,
100349,-1,,,,
100351,0,,,,
100352,-1,,,,
100353,,,-1=NA|-10=NA,,
100355,,,-1=NA|-3=NA|-10=NA,,
100356,1,,,,
100357,1,,,,
100358,1,,,,
100359,1,,,,
100360,1,,,,
100361,0,,-7=100,,
100369,1,,,,
100370,1,,,,
100373,,,-1=NA|-3=NA|-10=NA,,
100377,1,,,,
100385,0,,-3=NA,,
100387,0,,,,
100388,0,,,,
100389,0,,,,
100391,0,,,,
100393,0,,,,
100394,1,,,,
100397,0,,,,
100398,1,,,,
100400,0,,,,
100401,1,,,,
100402,1,,,,
100416,-1,,,,
100417,1,,,,
100418,0,,,,
100420,0,,,,
100428,1,1|3|2,,,
100429,1,1|3|2,,,
100430,0,,,,
100431,1,,,,
100432,1,,,,
100434,0,,,,
100435,1,1|3|2,,,
100478,1,,,,
100479,1,,7=-4,,
100484,1,,,,
100498,0,,-7=100,,
100499,-1,,12=11,,
100500,-1,,,,
100501,1,,,,
100502,0,,-7=100,,
100503,-1,,,,
100504,,,-1=NA|-2=NA|-3=NA,,
100508,1,,,,
100510,0,,-7=100,,
100511,1,,,,
100514,0,,-1=NA|-3=NA,,
100515,0,,,,
100523,0,,-7=100,,
100536,1,,5=-2,,
100537,,,-1=NA|-3=NA|-10=NA,,
100538,0,,-7=100,,
100539,1,,,,
100540,1,3|0|2,,,
100549,1,,,,
100550,-1,,,,
100552,0,,,,
100553,0,,-7=100,,
100563,-1,,,,
100564,-1,,,,
100567,,,-1=NA|-3=NA|-10=NA,,
100569,,,-1=NA|-3=NA|-10=NA,,
100570,1,,,,
100572,0,,,,
100579,-1,,2=-1|3=-2,,
100582,,,-1=NA|-3=NA|-6=NA,,
100584,,,-3=NA,,
100585,,,-1=NA|-2=NA|-3=NA,,
100586,,,-4=NA|-3=NA,,
100595,,,-1=NA|-3=NA|-11=NA,,
100598,,,-1=NA|-3=NA|-11=NA,,
100599,-1,,,,
100603,-1,,,,
100605,0,,-7=100,,
100610,0,,-7=100,,
100617,-1,,,,
100622,0,,-1=NA|-3=NA,,
100625,0,,-7=100,,
100626,0,,-7=100,,
100628,0,,-7=100,,
100629,0,,-7=100,,
100630,0,,-7=100,,
100631,0,,,,
100635,1,0|14|13|12|11,,,
100636,1,4|13|12|11,,,
100637,1,0|13|12|11,,,
100639,1,,,,
100640,0,,,,
100641,-1,,,,
100642,-1,,,,
100643,0,,13=0|14=0|15=1|16=0|17=0|-1=0,,
100644,0,,642=0|308=0|987=1|714=0|253=0|-1=0,,
100645,0,,1=0|2=0|3=0|4=1|5=0|-1=0,,
100646,0,,5=0|6=1|7=0|8=0|-1=0,,
100647,0,,1=0|2=0|3=0|4=1|5=0|-1=0,,
100648,0,,68=0|69=1|70=0|71=0|72=0|-1=0,,
100649,0,,1=0|2=0|3=1|4=0|5=0|-1=0,,
100650,0,,25=0|26=1|27=0|28=0|29=0|-1=0,,
100651,0,,1=0|2=0|3=0|4=1|5=0|-1=0,,
100652,0,,96=0|95=1|94=0|93=0|92=0,,
100653,0,,1=0|2=0|3=0|4=0|5=1|-1=0,,
100654,0,,50=0|49=0|48=0|47=0|46=0|45=1|-1=0,,
100655,0,,1=1|2=0|3=0|-5=0|-1=0,,
100656,0,,-7=100,,
100657,1,,,,
100658,0,,-7=100,,
100659,1,,,,
100662,1,,7=6,,
100663,1,,,,
100664,1,1|0|2,,,
100668,-1,,,,
100669,0,,,,
100672,0,,-3=NA,,
100673,0,,,,
100674,0,,,,
100683,0,,-7=100,,
100685,0,,-7=100,,
100686,0,,,,
100688,0,,-7=100,,
100689,0,,-7=100,,
100690,0,,-7=100,,
100691,0,,-7=100,,
100692,0,,-7=100,,
100693,1,,,,
100694,-1,,,,
100695,0,,,,
100696,,,-1=NA,,
100698,,,-313=NA,,
100699,-1,,,,
100700,1,,,,
CC_MAX_DIGITS,,,-1=NA,,
